"Sentence","PatternGroup","Rule","Verb","BaseVerbForm","ThirdPersonSingular","Word to Blank","Other Option","Category","Difficulty","Tense","Topic"
"He was surprised to find the store closed.","adjective_infinitive","Adjective + Infinitive","surprised","find","finds","to find","finding","adjective_infinitive","round2","past","daily_life"
"She is anxious to hear the test results.","adjective_infinitive","Adjective + Infinitive","anxious","hear","hears","to hear","hearing","adjective_infinitive","round2","present","health"
"I'm looking forward to seeing you in class.","preposition_gerund","Preposition + Gerund","look_forward_to","see","sees","seeing","to see","preposition_gerund","round1","present","school"
"She succeeded in passing the driving test.","preposition_gerund","Preposition + Gerund","succeed_in","pass","passes","passing","to pass","preposition_gerund","round1","past","transportation"
"He insisted on paying for dinner.","preposition_gerund","Preposition + Gerund","insist_on","pay","pays","paying","to pay","preposition_gerund","round1","past","social"
"We apologized for being late to the meeting.","preposition_gerund","Preposition + Gerund","apologize_for","be","is","being","to be","preposition_gerund","round1","past","work"
"She is capable of speaking three languages.","preposition_gerund","Preposition + Gerund","capable_of","speak","speaks","speaking","to speak","preposition_gerund","round2","present","school"
"They congratulated us on winning the game.","preposition_gerund","Preposition + Gerund","congratulate_on","win","wins","winning","to win","preposition_gerund","round2","past","hobbies"
"He depends on walking to work every day.","preposition_gerund","Preposition + Gerund","depend_on","walk","walks","walking","to walk","preposition_gerund","round2","present","transportation"
"I'm used to getting up early.","preposition_gerund","Preposition + Gerund","used_to","get","gets","getting","to get","preposition_gerund","round2","present","daily_life"
"She is focused on improving her writing.","preposition_gerund","Preposition + Gerund","focused_on","improve","improves","improving","to improve","preposition_gerund","round2","present","school"
"They prevented us from entering without a ticket.","preposition_gerund","Preposition + Gerund","prevent_from","enter","enters","entering","to enter","preposition_gerund","round2","past","daily_life"
"My sister will enjoy cooking for everyone when she hosts dinner.","gerund_after_verb","Gerund after verb","enjoy","cook","cooks","cooking","to cook","gerunds_intro","round1","future","work"
"He'll keep trying to fix his bike until it works.","gerund_after_verb","Gerund after verb","keep","try","tries","trying","to try","gerunds_intro","round2","future","school"
"Speaking up in meetings will get easier with practice.","gerund_subject","Gerund as subject","speak","speak","speaks","Speaking","To speak","gerund_subject","round1","future","health"
"Taking the bus to work will save you money on gas.","gerund_subject","Gerund as subject","take","take","takes","Taking","To take","gerund_subject","round2","future","school"
"We'll stop by the bakery to get some bread.","infinitive_purpose","Infinitive for purpose","stop","get","gets","to get","getting","infinitive_purpose","round1","future","home"
"She'll be nervous about speaking in front of the class.","preposition_gerund","Preposition + Gerund","nervous_about","speak","speaks","speaking","to speak","preposition_gerund","round1","future","relationships"
"My cousin will be excited about visiting us this summer.","preposition_gerund","Preposition + Gerund","excited_about","visit","visits","visiting","to visit","preposition_gerund","round2","future","work"
"She'll be thrilled to meet her new niece next week.","adjective_infinitive","Adjective + Infinitive","thrilled","meet","meets","to meet","meeting","adjective_infinitive","round1","future","school"
"He'll be proud to show his parents his report card.","adjective_infinitive","Adjective + Infinitive","proud","show","shows","to show","showing","adjective_infinitive","round2","future","school"
"My mom will remind me to call my aunt on her birthday.","noun_infinitive","Noun + Infinitive","remind","call","calls","to call","calling","noun_infinitive","round1","future","relationships"
"My friend will ask us to bring snacks to the party.","noun_infinitive","Noun + Infinitive","ask","bring","brings","to bring","bringing","noun_infinitive","round2","future","school"
